sample_id	genotype_id	rep	date_nod_picked		batch	start	end	Slice	Count	total_area	average_size	percent_area	Circularity	Solidity
886C	886	C	5/12/21	y	8			886_C_0100_cropped.tif	201	2.897	0.014	8.414	0.593	0.824
886D	886	D	5/13/21	Y	7			886_D_0128_cropped.tif	75	1.263	0.017	4.334	0.73	0.908
886E	886	E	5/14/21	Y	11			886_E_0165_cropped.tif	182	3.711	0.02	9.04	0.65	0.849
887A	887	A	5/10/21	y	4			887_A_0037_cropped.tif	83	2.2	0.027	5.563	0.629	0.885
887B	887	B	5/11/21	y	6			887_B_0085_cropped.tif	143	3.685	0.026	8.131	0.708	0.916
887C	887	C	5/12/21	y	8			887_C_0104_cropped.tif	105	2.696	0.026	9.467	0.738	0.904
887D	887	D	5/13/21	Y	7			887_D_0127_cropped.tif	182	3.596	0.02	8.713	0.614	0.823
887E	887	E	5/14/21	Y	11			887_E_0156_cropped.tif	78	3.721	0.048	8.901	0.702	0.907
891A	891	A	5/10/21	y	4			891_A_0059_cropped.tif	274	1.673	0.006	2.003	0.634	0.878
891B	891	B	5/11/21	Y	6			891_B_0088_cropped.tif	300	1.628	0.005	3.114	0.619	0.843
891C	891	C	5/12/21	y	8			891_C_0109_cropped.tif	291	1.781	0.006	4.201	0.651	0.876
891D	891	D	5/12/21	Y	8			891_D_0126_cropped.tif	292	2.572	0.009	4.6	0.701	0.935
891E	891	E	5/14/21	Y	11			891_E_0162_cropped.tif	341	2.855	0.008	3.43	0.657	0.924
892A	892	A	5/10/21	y	4			892_A_0058_cropped.tif	251	1.557	0.006	1.864	0.686	0.909
892B	892	B	5/11/21	y	6			892_B_0086_cropped.tif	309	2.026	0.007	4.083	0.748	0.944
892C	892	C	5/12/21	y	8			"892_C_891_D_0126_cropped.tif	292	2.572	0.009	4.600	0.701	0.9350112_cropped.tif"	198	1.461	0.007	1.558	0.672	0.915
892D	892	D	5/13/21	Y	7			892_D_0133_cropped.tif	313	3.477	0.011	9.888	0.726	0.944
892E	892	E	5/14/21	Y	11			892_E_0164.tif	409	2.729	0.007	3.279	0.692	0.912
893A	893	A	5/10/21	y	4			893_A_0051_cropped.tif	220	1.528	0.007	3.617	0.64	0.888
893B	893	B	5/11/21	y	6			893_B_0076_cropped.tif	363	1.658	0.005	3.403	0.598	0.82
893C	893	C	5/12/21	y	8			893_C_0102_cropped.tif	463	3.13	0.007	4.831	0.622	0.882
893D	893	D	5/13/21	Y	7			893_D_0140_cropped.tif	228	2.827	0.012	6.558	0.713	0.924
893E	893	E	5/14/21	have image	10			893_E_0145_cropped.tif	301	1.828	0.006	4.301	0.778	0.93
894A	894	A	5/10/21	y	4		3174	894_A_0045_cropped.tif	367	1.465	0.004	1.754	0.647	0.873
894B	894	B	5/11/21	y	6		6649	894_B_0064_cropped.tif	378	1.791	0.005	1.628	0.647	0.891
894C	894	C	5/12/21	y	8		7101	894_C_0097_cropped.tif	342	2.155	0.006	2.299	0.656	0.912
894D	894	D	5/13/21	Y	7		6284	894_D_0135_cropped.tif	371	2.581	0.007	6.785	0.72	0.921
894E	894	E	5/14/21	Y	11		5715	894_E_0170_cropped.tif	505	3.914	0.008	6.92	0.699	0.932
894F	894	F	5/14/21	Y	10		2922	894_F_0155_cropped.tif	358	3.196	0.009	4.854	0.677	0.935
