"sample_id"	"genotype_id"	"name"	"type"	"rep"	"background"	"date_biomass_harvested"	"num_plants"	"percent_herbivory"	"flowering"	"above_biomass_g"	"below_biomass_g"	"Count"	"num_plants_picked_nods"	"total_area"	"average_size"	"cfu_ml"	"above_biomass_per_plant"	"below_biomass_per_plant"	"root_to_shoot_ratio"	"total_biomass_per_plant"	"nodule_number_per_plant"	"cfu_per_plant_LOG10"	"cfu_per_nodule_LOG10"	"total_nodulated_area_per_plant"	"average_area_per_nodule"
"852C"	852	"dnf1/dnf2"	"Late"	"C"	"A17"	"5/7/21"	3	0	"N"	0.288	0.341	411	1	0.177	0.00043	3.16e+08	0.096	0.113666666666667	1.18402777777778	0.209666666666667	411	8.4996870826184	5.88584526074233	0.177	0.000430656934306569
"852D"	852	"dnf1/dnf2"	"Late"	"D"	"A17"	"5/13/21"	3	0	"N"	0.278	0.278	239	1	0.295	0.001	2.48e+08	0.0926666666666667	0.0926666666666667	1	0.185333333333333	239	8.39445168082622	6.01605377987808	0.295	0.00123430962343096
"852E"	852	"dnf1/dnf2"	"Late"	"E"	"A17"	"5/14/21"	2	0	"N"	0.22	0.278	NA	1	NA	NA	NA	0.11	0.139	1.26363636363636	0.249	NA	NA	NA	NA	NA
"854A"	854	"npd2/4"	"Late"	"A"	"R108"	"5/10/21"	3	1	"F"	2.015	0.691	217	3	4.163	0.019	6.1e+07	0.671666666666667	0.230333333333333	0.342928039702233	0.902	72.3333333333333	7.3082085802911	5.44887010116224	1.38766666666667	0.019184331797235
"854B"	854	"npd2/4"	"Late"	"B"	"R108"	"5/11/21"	3	2	"F"	2.016	0.859	322	3	1.835	0.006	1.72e+08	0.672	0.286333333333333	0.42609126984127	0.958333333333333	107.333333333333	7.75840719218789	5.72767257521172	0.611666666666667	0.00569875776397516
"854C"	854	"npd2/4"	"Late"	"C"	"R108"	"5/12/21"	2	5	"F"	2.28	1.051	204	3	2.205	0.011	1.24e+08	1.14	0.5255	0.460964912280702	1.6655	68	7.61630043044257	5.78379151773634	0.735	0.0108088235294118
"854D"	854	"npd2/4"	"Late"	"D"	"R108"	"5/13/21"	3	0	"F"	2.69	1.213	100	3	4.476	0.045	1.45e+08	0.896666666666667	0.404333333333333	0.45092936802974	1.301	33.3333333333333	7.68424674751531	6.16136800223498	1.492	0.04476
"854E"	854	"npd2/4"	"Late"	"E"	"R108"	"5/14/21"	3	2	"F"	2.359	1.215	105	2	2.486	0.024	1.16e+08	0.786333333333333	0.405	0.515048749470114	1.19133333333333	52.5	7.76342799356294	6.04326869015698	1.243	0.0236761904761905
"855A"	855	"npd1/2/4"	"Late"	"A"	"R108"	"5/10/21"	3	2	"F"	1.994	1.258	227	3	2.166	0.01	61600000	0.664666666666667	0.419333333333333	0.630892678034102	1.084	75.6666666666667	7.31245945744476	5.4335548549713	0.722	0.00954185022026432
"855B"	855	"npd1/2/4"	"Late"	"B"	"R108"	"5/11/21"	3	2	"F"	2.745	0.953	161	3	5.166	0.032	1.24e+08	0.915	0.317666666666667	0.347176684881603	1.23266666666667	53.6666666666667	7.61630043044257	5.88659580913039	1.722	0.0320869565217391
"855C"	855	"npd1/2/4"	"Late"	"C"	"R108"	"5/12/21"	3	5	"F"	2.281	1.155	171	3	3.394	0.02	57100000	0.760333333333333	0.385	0.506356861025866	1.14533333333333	57	7.27951485352619	5.52363999785369	1.13133333333333	0.0198479532163743
"855D"	855	"npd1/2/4"	"Late"	"D"	"R108"	"5/13/21"	3	5	"F"	2.84	1.017	225	3	5.998	0.027	NA	0.946666666666667	0.339	0.358098591549296	1.28566666666667	75	NA	NA	1.99933333333333	0.0266577777777778
"855E"	855	"npd1/2/4"	"Late"	"E"	"R108"	"5/14/21"	3	1	"F"	3.176	1.214	183	3	6.597	0.036	1.71e+08	1.05866666666667	0.404666666666667	0.382241813602015	1.46333333333333	61	7.75587485567249	5.97054502066172	2.199	0.0360491803278689
"856A"	856	"npd1/2/4/5"	"Late"	"A"	"R108"	"5/10/21"	3	1	"F"	1.591	0.759	185	3	2.989	0.016	NA	0.530333333333333	0.253	0.47705845380264	0.783333333333333	61.6666666666667	NA	NA	0.996333333333333	0.0161567567567568
"856B"	856	"npd1/2/4/5"	"Late"	"B"	"R108"	"5/11/21"	3	1	"F"	1.988	0.753	276	3	3.817	0.014	1.3e+08	0.662666666666667	0.251	0.378772635814889	0.913666666666667	92	7.63682209758717	5.67303427024162	1.27233333333333	0.0138297101449275
"856C"	856	"npd1/2/4/5"	"Late"	"C"	"R108"	"5/12/21"	3	1	"F"	1.846	0.975	191	1	1.551	0.008	33300000	0.615333333333333	0.325	0.528169014084507	0.940333333333333	191	7.52244423350632	5.24141086625859	1.551	0.00812041884816754
"856D"	856	"npd1/2/4/5"	"Late"	"D"	"R108"	"5/13/21"	3	2	"F"	1.832	0.995	208	3	4.086	0.02	1.06e+08	0.610666666666667	0.331666666666667	0.543122270742358	0.942333333333333	69.3333333333333	7.54818461054511	5.70724253030201	1.362	0.0196442307692308
"856E"	856	"npd1/2/4/5"	"Late"	"E"	"R108"	"5/14/21"	3	2	"F"	2.306	1.161	264	3	4.442	0.017	81800000	0.768666666666667	0.387	0.503469210754553	1.15566666666667	88	7.43563204895166	5.49114937680149	1.48066666666667	0.0168257575757576
"857A"	857	"npd2/4/5"	"Late"	"A"	"R108"	"5/10/21"	3	1	"F"	2.215	1.116	206	3	4.544	0.022	65400000	0.738333333333333	0.372	0.503837471783296	1.11033333333333	68.6666666666667	7.33845649360461	5.50171052795511	1.51466666666667	0.0220582524271845
"857B"	857	"npd2/4/5"	"Late"	"B"	"R108"	"5/11/21"	3	15	"F"	2.243	0.681	164	3	3.502	0.021	1.43e+08	0.747666666666667	0.227	0.303611234953188	0.974666666666667	54.6666666666667	7.6782147827454	5.94049218941736	1.16733333333333	0.0213536585365854
"857C"	857	"npd2/4/5"	"Late"	"C"	"R108"	"5/12/21"	3	10	"F"	2.445	1.485	376	3	3.046	0.008	1.54e+08	0.815	0.495	0.607361963190184	1.31	125.333333333333	7.7103994661168	5.6123328759088	1.01533333333333	0.00810106382978723
"857D"	857	"npd2/4/5"	"Late"	"D"	"R108"	"5/13/21"	3	2	"F"	2.644	1.218	190	3	4.931	0.026	1.45e+08	0.881333333333333	0.406	0.460665658093797	1.28733333333333	63.3333333333333	7.68424674751531	5.88261440128215	1.64366666666667	0.0259526315789474
"857E"	857	"npd2/4/5"	"Late"	"E"	"R108"	"5/14/21"	3	2	"F"	2.646	1.406	222	3	4.659	0.021	2.14e+08	0.882	0.468666666666667	0.531368102796674	1.35066666666667	74	7.85329251862953	5.98406079889855	1.553	0.0209864864864865
"858A"	858	"npd1/2/3/4/5"	"Late"	"A"	"R108"	"5/10/21"	3	1	"F"	1.447	0.916	247	3	4.409	0.018	7.5e+07	0.482333333333333	0.305333333333333	0.633033863165169	0.787666666666667	82.3333333333333	7.39794000867204	5.48236431013203	1.46966666666667	0.0178502024291498
