"sample_id"	"genotype_id"	"geno"	"type"	"rep"	"background"	"date_biomass_harvested"	"num_plants"	"percent_herbivory"	"flowering"	"above_biomass_g"	"below_biomass_g"	"Count"	"num_plants_picked_nods"	"total_area"	"average_size"	"cfu_ml"	"nodule_isolate_diversity"	"above_biomass_per_plant"	"below_biomass_per_plant"	"root_to_shoot_ratio"	"total_biomass_per_plant"	"nodule_number_per_plant"	"cfu_per_plant_LOG10"	"cfu_per_nodule_LOG10"	"total_nodulated_area_per_plant"	"average_area_per_nodule"
"851B"	"851"	"dnf5/dnf2"	"Late"	"B"	"A17"	"5/6/21"	3	0	"N"	0.257	0.249	606	1	0.397	0.000655	3.51e+08	3.9701584944711	0.0856666666666667	0.083	0.968871595330739	0.168666666666667	606	8.54530711646582	5.76283449229954	0.397	0.000655115511551155
"851C"	"851"	"dnf5/dnf2"	"Late"	"C"	"A17"	"5/7/21"	3	0	"N"	0.294	0.397	444	1	0.323	0.000727	3.26e+08	3.71292894148631	0.098	0.132333333333333	1.35034013605442	0.230333333333333	444	8.51321760006794	5.86583462995332	0.323	0.000727477477477478
"851D"	"851"	"dnf5/dnf2"	"Late"	"D"	"A17"	"5/13/21"	3	0	"N"	0.192	0.362	491	2	1.297	0.003	4.37e+08	4.06898908968879	0.064	0.120666666666667	1.88541666666667	0.184666666666667	245.5	8.33945144130644	5.94939994484745	0.6485	0.00264154786150713
"851E"	"851"	"dnf5/dnf2"	"Late"	"E"	"A17"	"5/14/21"	3	0	"N"	0.346	0.386	246	2	0.581	0.002	4.21e+08	NA	0.115333333333333	0.128666666666667	1.11560693641619	0.244	123	8.32325210017169	6.23334698873229	0.2905	0.00236178861788618
"852A"	"852"	"dnf1/dnf2"	"Late"	"A"	"A17"	"5/6/21"	3	0	"N"	0.269	0.202	909	2	0.837	0.000921	2.13e+08	4.09055772675771	0.0896666666666667	0.0673333333333333	0.75092936802974	0.157	454.5	8.02734960777476	5.36981572021677	0.4185	0.000920792079207921
"852B"	"852"	"dnf1/dnf2"	"Late"	"B"	"A17"	"5/6/21"	3	0	"N"	0.231	0.244	225	1	0.107	0.000475	1.9e+08	3.69799952426919	0.077	0.0813333333333333	1.05627705627706	0.158333333333333	225	8.27875360095283	5.92657108284147	0.107	0.000475555555555556
"852C"	"852"	"dnf1/dnf2"	"Late"	"C"	"A17"	"5/7/21"	3	0	"N"	0.288	0.341	411	1	0.177	0.00043	3.16e+08	4.05974100010235	0.096	0.113666666666667	1.18402777777778	0.209666666666667	411	8.4996870826184	5.88584526074233	0.177	0.000430656934306569
"852D"	"852"	"dnf1/dnf2"	"Late"	"D"	"A17"	"5/13/21"	3	0	"N"	0.278	0.278	239	1	0.295	0.001	2.48e+08	4.03351302289821	0.0926666666666667	0.0926666666666667	1	0.185333333333333	239	8.39445168082622	6.01605377987808	0.295	0.00123430962343096
"852E"	"852"	"dnf1/dnf2"	"Late"	"E"	"A17"	"5/14/21"	2	0	"N"	0.22	0.278	NA	1	NA	NA	NA	NA	0.11	0.139	1.26363636363636	0.249	NA	NA	NA	NA	NA
"846A"	"846"	"nad1"	"Late"	"A"	"A17"	"5/6/21"	3	0	"N"	0.142	0.103	NA	2	NA	NA	28400000	4.14830848307011	0.0473333333333333	0.0343333333333333	0.725352112676056	0.0816666666666667	NA	7.15228834438306	NA	NA	NA
"846B"	"846"	"nad1"	"Late"	"B"	"A17"	"5/6/21"	3	0	"N"	0.217	0.21	610	2	0.379	0.000622	3e+07	4.03898501005506	0.0723333333333333	0.07	0.967741935483871	0.142333333333333	305	7.17609125905568	4.6917914197089	0.1895	0.000621311475409836
"846C"	"846"	"nad1"	"Late"	"C"	"A17"	"5/7/21"	3	0	"N"	0.256	0.308	588	2	0.487	0.000829	30300000	4.12085349126556	0.0853333333333333	0.102666666666667	1.203125	0.188	294	7.18041263283832	4.71206530242617	0.2435	0.000828231292517007
"846D"	"846"	"nad1"	"Late"	"D"	"A17"	"5/13/21"	2	0	"N"	0.111	0.197	286	1	0.681	0.002	75400000	3.94343569455283	0.0555	0.0985	1.77477477477477	0.154	286	7.87737134586977	5.42100531274073	0.681	0.00238111888111888
"860A"	"860"	"A17"	"WT"	"A"	"A17"	"5/10/21"	3	5	"F"	1.542	0.632	335	3	1.264	0.004	2.06e+08	4.10801335979759	0.514	0.210666666666667	0.409857328145266	0.724666666666667	111.666666666667	7.83674596564949	5.78882241333231	0.421333333333333	0.00377313432835821
"860B"	"860"	"A17"	"WT"	"B"	"A17"	"5/11/21"	3	4	"F"	1.827	0.723	330	3	1.663	0.005	1.45e+08	4.0964280002662	0.609	0.241	0.395730706075534	0.85	110	7.68424674751531	5.64285406235709	0.554333333333333	0.00503939393939394
"860C"	"860"	"A17"	"WT"	"C"	"A17"	"5/12/21"	3	15	"F"	2.292	1.295	355	1	1.665	0.005	1.56e+08	4.21331705341726	0.764	0.431666666666667	0.56500872600349	1.19566666666667	355	8.19312459835446	5.64289624529937	1.665	0.00469014084507042
"860D"	"860"	"A17"	"WT"	"D"	"A17"	"5/13/21"	3	5	"F"	2.7	0.966	355	1	1.269	0.004	2.28e+08	NA	0.9	0.322	0.357777777777778	1.222	355	8.35793484700045	5.80770649394536	1.269	0.00357464788732394
"860E"	"860"	"A17"	"WT"	"E"	"A17"	"5/14/21"	2	7	"F"	2.88	1.277	414	2	2.788	0.007	5.73e+08	4.2754220230185	1.44	0.6385	0.443402777777778	2.0785	207	8.45712462630341	6.14115428084649	1.394	0.00673429951690821
