sample_id.x	genotype_id	rep.x	date_nod_picked.x	X	batch	start	end	Slice	Count	total_area	average_size	percent_area	Circularity	Solidity	sample_id.y	rep.y	cfu_ml	num_alive_apr15	date_on_plant_tag	nodule_harvester	nodule_weight_g	date_biomass_harvested	num_plants	percent_herbivory	flowering	above_biomass_g	below_biomass_g	ratio	num_plants_picked_nods	date_nod_picked.y	nod_distribution	image_above	image_below	envelope_notes	name	background	type	order
837B	837	B	05/11/21	manual count	NA	NA	NA		685	0	0	0	0	0	837A	A	2.42E+08	1	05/10/21	RBB	0.038	05/10/21	1	5	N	0.17	0.137	1.240875912	1	05/10/21	bottom	9481	9534		dnf4	A17	Late	2
837B	837	B	05/11/21	manual count	NA	NA	NA		685	0	0	0	0	0	837B	B	2.51E+08	1	05/11/21	LCL	0.142	05/11/21	1	5	N	0.3	0.331	0.906344411	1	05/11/21	even	9485	9562		dnf4	A17	Late	2
837B	837	B	05/11/21	manual count	NA	NA	NA		685	0	0	0	0	0	837C	C	0	NA			NA	05/12/21	3	5	N	0.432	0.592	0.72972973	1	05/12/21	even	9477	9480		dnf4	A17	Late	2
837C	837	C	05/12/21		NA	NA	NA		0	0	0	0	0	0	837A	A	2.42E+08	1	05/10/21	RBB	0.038	05/10/21	1	5	N	0.17	0.137	1.240875912	1	05/10/21	bottom	9481	9534		dnf4	A17	Late	2
837C	837	C	05/12/21		NA	NA	NA		0	0	0	0	0	0	837B	B	2.51E+08	1	05/11/21	LCL	0.142	05/11/21	1	5	N	0.3	0.331	0.906344411	1	05/11/21	even	9485	9562		dnf4	A17	Late	2
837C	837	C	05/12/21		NA	NA	NA		0	0	0	0	0	0	837C	C	0	NA			NA	05/12/21	3	5	N	0.432	0.592	0.72972973	1	05/12/21	even	9477	9480		dnf4	A17	Late	2
839A	839	A	05/10/21	Y	5	NA	NA	839_A_0054_cropped.tif	425	1.674	0.004	2.935	0.833	0.947	839A	A	2.61E+08	3	05/10/21	LTB	0.068	05/10/21	3	5	F	1.539	0.898	1.713808463	1	05/10/21	even	9497	9532		dnf6	A17	Late	1
839A	839	A	05/10/21	Y	5	NA	NA	839_A_0054_cropped.tif	425	1.674	0.004	2.935	0.833	0.947	839B	B	2.69E+08	2	05/11/21	LTB	0.014	05/11/21	2	4	F	0.651	0.338	1.926035503	2	05/11/21	even	8985	9564		dnf6	A17	Late	1
839A	839	A	05/10/21	Y	5	NA	NA	839_A_0054_cropped.tif	425	1.674	0.004	2.935	0.833	0.947	839C	C	3.03E+09	3	05/12/21	LTB	0.052	05/12/21	3	5	F	1.42	0.856	1.658878505	1	05/12/21	even	9483	9535		dnf6	A17	Late	1
839A	839	A	05/10/21	Y	5	NA	NA	839_A_0054_cropped.tif	425	1.674	0.004	2.935	0.833	0.947	839D	D	2.84E+08	1	5/13/21	LCL	NA	5/13/21	1	0	N	0.32	0.298	1.073825503	1	5/13/21	even	9508	9550		dnf6	A17	Late	1
839A	839	A	05/10/21	Y	5	NA	NA	839_A_0054_cropped.tif	425	1.674	0.004	2.935	0.833	0.947	839E	E	5.26E+08	NA			NA	5/14/21	1	3	F	1.134	0.516	2.197674419	1	5/14/21	even	9517	9552		dnf6	A17	Late	1
839B	839	B	05/11/21	Y	6	NA	NA	839_B_0080_cropped.tif	630	2.475	0.004	3.435	0.845	0.947	839A	A	2.61E+08	3	05/10/21	LTB	0.068	05/10/21	3	5	F	1.539	0.898	1.713808463	1	05/10/21	even	9497	9532		dnf6	A17	Late	1
839B	839	B	05/11/21	Y	6	NA	NA	839_B_0080_cropped.tif	630	2.475	0.004	3.435	0.845	0.947	839B	B	2.69E+08	2	05/11/21	LTB	0.014	05/11/21	2	4	F	0.651	0.338	1.926035503	2	05/11/21	even	8985	9564		dnf6	A17	Late	1
