diff	lwr	upr	p adj	comparison	trait	p_adj	Significant
-0.0274239855733684	-0.0623317286903306	0.00748375754359375	0.284179046186589	A17-dnf6	cfu_per_plant_LOG10	0.284179046186589	
-0.0153503906300083	-0.0615289941890127	0.030828212928996	0.997420121421388	A17-dnf4	cfu_per_plant_LOG10	0.997420121421388	
-0.00157657438032954	-0.0364843174972917	0.0333311687366327	1	A17-dnf3	cfu_per_plant_LOG10	1	
0.000159767620667606	-0.0347479754962946	0.0350675107376298	1	A17-dnf2	cfu_per_plant_LOG10	1	
0.00110934032888799	-0.0337984027880742	0.0360170834458502	1	A17-dnf1	cfu_per_plant_LOG10	1	
0.0427857406469144	0.00576048783603143	0.0798109934577974	0.010411705500988	A17-nad1	cfu_per_plant_LOG10	0.010411705500988	*
0.19760787813453	0.137145893478389	0.258069862790672	0	A17-latd	cfu_per_plant_LOG10	0	***
0.0613502823446725	0.0243250295337895	0.0983755351555556	2.72176262970936e-05	A17-ipd3	cfu_per_plant_LOG10	2.72176262970936e-05	***
0.00946132483196138	-0.0275639279789216	0.0464865776428444	0.999873648569143	A17-hcl	cfu_per_plant_LOG10	0.999873648569143	
0.00413838911385578	-0.0411433659737221	0.0494201442014337	0.999999999883063	A17-sunn4	nodule_isolate_diversity	0.999999999883063	
-0.0029732173049436	-0.0482549723925215	0.0423085377826343	1	A17-sunn1	nodule_isolate_diversity	1	
-0.00211828914445999	-0.0510281746596938	0.0467915963707739	1	A17-rdn1	nodule_isolate_diversity	1	
0.0270320388589834	-0.0182497162285945	0.0723137939465613	0.709569570508591	A17-dnf5/dnf2	nodule_isolate_diversity	0.709569570508591	
0.0219272786409763	-0.0233544764466016	0.0672090337285542	0.915935070626066	A17-dnf1/dnf2	nodule_isolate_diversity	0.915935070626066	
0.0527670195496117	0.00748526446203383	0.0980487746371896	0.00984724443546947	A17-dnf7	nodule_isolate_diversity	0.00984724443546947	**
-0.00177030984565418	-0.0470520649332321	0.0435114452419237	1	A17-dnf6	nodule_isolate_diversity	1	
0.00519913637236114	-0.0502594609387599	0.0606577336834821	0.999999999830516	A17-dnf4	nodule_isolate_diversity	0.999999999830516	
0.00486488565769527	-0.0404168694298826	0.0501466407452732	0.999999998777001	A17-dnf3	nodule_isolate_diversity	0.999999998777001	
0.0158348313374057	-0.0294469237501722	0.0611165864249836	0.994941662971187	A17-dnf2	nodule_isolate_diversity	0.994941662971187	
-0.00304034645628093	-0.0483221015438588	0.042241408631297	1	A17-dnf1	nodule_isolate_diversity	1	
0.0116587674034506	-0.0336229876841273	0.0569405224910285	0.99983239329658	A17-nad1	nodule_isolate_diversity	0.99983239329658	
0.0482402794478917	-0.02335646181544	0.119837020711223	0.522206412469001	A17-latd	nodule_isolate_diversity	0.522206412469001	
0.0437484381843937	-0.00153331690318421	0.0890301932719715	0.0678374376889337	A17-ipd3	nodule_isolate_diversity	0.0678374376889337	
0.0213329497698764	-0.0239488053177015	0.0666147048574543	0.931019814707363	A17-hcl	nodule_isolate_diversity	0.931019814707363	
